2022-05-06 04:50:00,-100.5,-66,35,21
2022-05-06 05:00:00,-101.5,-65.5,35,21
2022-05-06 05:10:00,-101.5,-66,35,21
2022-05-06 05:20:00,-100.5,-65.5,35,21
2022-05-06 05:30:00,-102,-65,35,20
2022-05-06 05:40:00,-102,-65,35,20.5
2022-05-06 05:50:00,-101,-65,35,20.5
2022-05-06 06:00:00,-101,-65.5,35.5,20.5
2022-05-06 06:10:00,-101.5,-65.5,35,21
2022-05-06 06:20:00,-102,-65.5,35,20.5
2022-05-06 06:30:00,-101.5,-66,35,21
2022-05-06 06:40:00,-102,-66,34.5,21
2022-05-06 06:50:00,-101.5,-66,35,21
2022-05-06 07:00:00,-102,-66,35,20.5
2022-05-06 07:10:00,-101,-66,35,21
2022-05-06 07:20:00,-101,-65.5,35,21
2022-05-06 07:30:00,-102,-65,35,20
2022-05-06 07:40:00,-101.5,-65.5,35,20.5
2022-05-06 07:50:00,-101,-66,35,21.5
2022-05-06 08:00:00,-101.5,-66,35,20.5
2022-05-06 08:10:00,-102,-65.5,35,20.5
2022-05-06 08:20:00,-102,-66,35,21
2022-05-06 08:30:00,-101,-65,35,21.5
2022-05-06 08:40:00,-101.5,-66,35,21
2022-05-06 08:50:00,-101,-65.5,34.5,20.5
2022-05-06 09:00:00,-101.5,-65,35,21
2022-05-06 09:10:00,-101.5,-65,35,21.5
2022-05-06 09:20:00,-101,-65,35,21
2022-05-06 09:30:00,-101.5,-66,35,21.5
2022-05-06 09:40:00,-102,-65,35,20.5
2022-05-06 09:50:00,-101,-65,35,20.5
2022-05-06 10:00:00,-100,-65.5,35,21
2022-05-06 10:10:00,-101,-65,35,21.5
2022-05-06 10:20:00,-101,-65.5,35,21
2022-05-06 10:30:00,-101,-66,34,21
2022-05-06 10:40:00,-102,-65.5,35,20
2022-05-06 10:50:00,-102,-65,35,21.5
2022-05-06 11:00:00,-101.5,-65,35,21
2022-05-06 11:10:00,-102,-66.5,35,20
2022-05-06 11:20:00,-101.5,-66,35,20
2022-05-06 11:30:00,-101.5,-65.5,35,21
2022-05-06 11:40:00,-101.5,-65.5,35,21
2022-05-06 11:50:00,-101.5,-65,35,20.5
